Summary,Description,Start Date,Due Date,Epic Name,Labels
"[America Prays National Mall] Phase 1: Mission & Strategy","Event: America Prays National Mall\nLocation: Philadelphia, PA\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nEvent purpose approved, Success targets set, Budget & ROI approved, Faith guardrails documented",2026-01-26,2026-02-23,"America Prays National Mall",event-marketing
"[America Prays National Mall] Phase 2: Theme & Audience","Event: America Prays National Mall\nLocation: Philadelphia, PA\nPhase 2: Theme & Audience\n\nKey Deliverables:\nVisual identity finalized, Messaging framework aligned, ICP list finalized, Invitation strategy approved",2026-03-09,2026-03-23,"America Prays National Mall",event-marketing
"[America Prays National Mall] Phase 3: Systems & Planning","Event: America Prays National Mall\nLocation: Philadelphia, PA\nPhase 3: Systems & Planning\n\nKey Deliverables:\nPlatforms configured (HubSpot, analytics), Critical path & risk register approved",2026-04-06,2026-04-20,"America Prays National Mall",event-marketing
"[America Prays National Mall] Phase 4: Final Prep","Event: America Prays National Mall\nLocation: Philadelphia, PA\nPhase 4: Final Prep\n\nKey Deliverables:\nOn-site experience flow finalized, Staffing plan locked, Strategic/Creative/Ops approvals complete",2026-05-04,2026-05-17,"America Prays National Mall",event-marketing
"[America Prays National Mall] Phase 5: Execution","Event: America Prays National Mall\nLocation: Philadelphia, PA\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-05-18,2026-05-18,"America Prays National Mall",event-marketing
"[America Prays National Mall] Phase 6: Follow-up","Event: America Prays National Mall\nLocation: Philadelphia, PA\nPhase 6: Follow-up\n\nKey Deliverables:\n90-day nurture plan activated, Thank you emails sent, Leads uploaded to CRM",2026-05-19,2026-05-25,"America Prays National Mall",event-marketing
"[America Prays National Mall] Phase 7: ROI Analysis","Event: America Prays National Mall\nLocation: Philadelphia, PA\nPhase 7: ROI Analysis\n\nKey Deliverables:\n30/60/90-day performance report delivered",2026-06-17,2026-06-17,"America Prays National Mall",event-marketing
"[Rangers vs Padres Fathers Day] Phase 1: Mission & Strategy","Event: Rangers vs Padres Fathers Day\nLocation: Dallas, TX\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nEvent purpose approved, Success targets set, Budget & ROI approved, Faith guardrails documented",2026-02-27,2026-03-27,"Rangers vs Padres Fathers Day",event-marketing
"[Rangers vs Padres Fathers Day] Phase 2: Theme & Audience","Event: Rangers vs Padres Fathers Day\nLocation: Dallas, TX\nPhase 2: Theme & Audience\n\nKey Deliverables:\nVisual identity finalized, Messaging framework aligned, ICP list finalized, Invitation strategy approved",2026-04-10,2026-04-24,"Rangers vs Padres Fathers Day",event-marketing
"[Rangers vs Padres Fathers Day] Phase 3: Systems & Planning","Event: Rangers vs Padres Fathers Day\nLocation: Dallas, TX\nPhase 3: Systems & Planning\n\nKey Deliverables:\nPlatforms configured (HubSpot, analytics), Critical path & risk register approved",2026-05-08,2026-05-22,"Rangers vs Padres Fathers Day",event-marketing
"[Rangers vs Padres Fathers Day] Phase 4: Final Prep","Event: Rangers vs Padres Fathers Day\nLocation: Dallas, TX\nPhase 4: Final Prep\n\nKey Deliverables:\nOn-site experience flow finalized, Staffing plan locked, Strategic/Creative/Ops approvals complete",2026-06-05,2026-06-18,"Rangers vs Padres Fathers Day",event-marketing
"[Rangers vs Padres Fathers Day] Phase 5: Execution","Event: Rangers vs Padres Fathers Day\nLocation: Dallas, TX\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-06-19,2026-06-21,"Rangers vs Padres Fathers Day",event-marketing
"[Rangers vs Padres Fathers Day] Phase 6: Follow-up","Event: Rangers vs Padres Fathers Day\nLocation: Dallas, TX\nPhase 6: Follow-up\n\nKey Deliverables:\n90-day nurture plan activated, Thank you emails sent, Leads uploaded to CRM",2026-06-22,2026-06-28,"Rangers vs Padres Fathers Day",event-marketing
"[Rangers vs Padres Fathers Day] Phase 7: ROI Analysis","Event: Rangers vs Padres Fathers Day\nLocation: Dallas, TX\nPhase 7: ROI Analysis\n\nKey Deliverables:\n30/60/90-day performance report delivered",2026-07-21,2026-07-21,"Rangers vs Padres Fathers Day",event-marketing
"[SBC VIP Event] Phase 1: Mission & Strategy","Event: SBC VIP Event\nLocation: Orlando, FL\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nEvent purpose approved, Success targets set, Budget & ROI approved, Faith guardrails documented",2026-02-14,2026-03-14,"SBC VIP Event",event-marketing
"[SBC VIP Event] Phase 2: Theme & Audience","Event: SBC VIP Event\nLocation: Orlando, FL\nPhase 2: Theme & Audience\n\nKey Deliverables:\nVisual identity finalized, Messaging framework aligned, ICP list finalized, Invitation strategy approved",2026-03-28,2026-04-11,"SBC VIP Event",event-marketing
"[SBC VIP Event] Phase 3: Systems & Planning","Event: SBC VIP Event\nLocation: Orlando, FL\nPhase 3: Systems & Planning\n\nKey Deliverables:\nPlatforms configured (HubSpot, analytics), Critical path & risk register approved",2026-04-25,2026-05-09,"SBC VIP Event",event-marketing
"[SBC VIP Event] Phase 4: Final Prep","Event: SBC VIP Event\nLocation: Orlando, FL\nPhase 4: Final Prep\n\nKey Deliverables:\nOn-site experience flow finalized, Staffing plan locked, Strategic/Creative/Ops approvals complete",2026-05-23,2026-06-05,"SBC VIP Event",event-marketing
"[SBC VIP Event] Phase 5: Execution","Event: SBC VIP Event\nLocation: Orlando, FL\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-06-06,2026-06-08,"SBC VIP Event",event-marketing
"[SBC VIP Event] Phase 6: Follow-up","Event: SBC VIP Event\nLocation: Orlando, FL\nPhase 6: Follow-up\n\nKey Deliverables:\n90-day nurture plan activated, Thank you emails sent, Leads uploaded to CRM",2026-06-09,2026-06-15,"SBC VIP Event",event-marketing
"[SBC VIP Event] Phase 7: ROI Analysis","Event: SBC VIP Event\nLocation: Orlando, FL\nPhase 7: ROI Analysis\n\nKey Deliverables:\n30/60/90-day performance report delivered",2026-07-08,2026-07-08,"SBC VIP Event",event-marketing
"[BCI Conference] Phase 1: Mission & Strategy","Event: BCI Conference\nLocation: Atlanta, GA\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nSponsorship objective defined, ROI threshold approved, Faith alignment confirmed, Owner assigned",2026-02-27,2026-03-27,"BCI Conference",event-marketing
"[BCI Conference] Phase 2: Theme & Audience","Event: BCI Conference\nLocation: Atlanta, GA\nPhase 2: Theme & Audience\n\nKey Deliverables:\nBrand representation approved, Messaging adapted to host tone, Expected reach quantified",2026-04-10,2026-04-24,"BCI Conference",event-marketing
"[BCI Conference] Phase 3: Systems & Planning","Event: BCI Conference\nLocation: Atlanta, GA\nPhase 3: Systems & Planning\n\nKey Deliverables:\nActivation plan finalized, CTA or lead capture defined, Pre/post touchpoint secured",2026-05-08,2026-05-22,"BCI Conference",event-marketing
"[BCI Conference] Phase 4: Final Prep","Event: BCI Conference\nLocation: Atlanta, GA\nPhase 4: Final Prep\n\nKey Deliverables:\nSponsorship assets delivered, Attribution & tracking confirmed",2026-06-05,2026-06-18,"BCI Conference",event-marketing
"[BCI Conference] Phase 5: Execution","Event: BCI Conference\nLocation: Atlanta, GA\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-06-19,2026-06-20,"BCI Conference",event-marketing
"[BCI Conference] Phase 6: Follow-up","Event: BCI Conference\nLocation: Atlanta, GA\nPhase 6: Follow-up\n\nKey Deliverables:\nPost-event follow-up activated",2026-06-21,2026-06-27,"BCI Conference",event-marketing
"[BCI Conference] Phase 7: ROI Analysis","Event: BCI Conference\nLocation: Atlanta, GA\nPhase 7: ROI Analysis\n\nKey Deliverables:\nPost-event ROI summary delivered",2026-07-20,2026-07-20,"BCI Conference",event-marketing
"[America Prays 250] Phase 1: Mission & Strategy","Event: America Prays 250\nLocation: TBD\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nEvent purpose approved, Success targets set, Budget & ROI approved, Faith guardrails documented",2026-02-28,2026-03-28,"America Prays 250",event-marketing
"[America Prays 250] Phase 2: Theme & Audience","Event: America Prays 250\nLocation: TBD\nPhase 2: Theme & Audience\n\nKey Deliverables:\nVisual identity finalized, Messaging framework aligned, ICP list finalized, Invitation strategy approved",2026-04-11,2026-04-25,"America Prays 250",event-marketing
"[America Prays 250] Phase 3: Systems & Planning","Event: America Prays 250\nLocation: TBD\nPhase 3: Systems & Planning\n\nKey Deliverables:\nPlatforms configured (HubSpot, analytics), Critical path & risk register approved",2026-05-09,2026-05-23,"America Prays 250",event-marketing
"[America Prays 250] Phase 4: Final Prep","Event: America Prays 250\nLocation: TBD\nPhase 4: Final Prep\n\nKey Deliverables:\nOn-site experience flow finalized, Staffing plan locked, Strategic/Creative/Ops approvals complete",2026-06-06,2026-06-19,"America Prays 250",event-marketing
"[America Prays 250] Phase 5: Execution","Event: America Prays 250\nLocation: TBD\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-06-20,2026-06-20,"America Prays 250",event-marketing
"[America Prays 250] Phase 6: Follow-up","Event: America Prays 250\nLocation: TBD\nPhase 6: Follow-up\n\nKey Deliverables:\n90-day nurture plan activated, Thank you emails sent, Leads uploaded to CRM",2026-06-21,2026-06-27,"America Prays 250",event-marketing
"[America Prays 250] Phase 7: ROI Analysis","Event: America Prays 250\nLocation: TBD\nPhase 7: ROI Analysis\n\nKey Deliverables:\n30/60/90-day performance report delivered",2026-07-20,2026-07-20,"America Prays 250",event-marketing
"[Pastor Retreat 2] Phase 1: Mission & Strategy","Event: Pastor Retreat 2\nLocation: TBD\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nEvent purpose approved, Success targets set, Budget & ROI approved, Faith guardrails documented",2026-03-04,2026-04-01,"Pastor Retreat 2",event-marketing
"[Pastor Retreat 2] Phase 2: Theme & Audience","Event: Pastor Retreat 2\nLocation: TBD\nPhase 2: Theme & Audience\n\nKey Deliverables:\nVisual identity finalized, Messaging framework aligned, ICP list finalized, Invitation strategy approved",2026-04-15,2026-04-29,"Pastor Retreat 2",event-marketing
"[Pastor Retreat 2] Phase 3: Systems & Planning","Event: Pastor Retreat 2\nLocation: TBD\nPhase 3: Systems & Planning\n\nKey Deliverables:\nPlatforms configured (HubSpot, analytics), Critical path & risk register approved",2026-05-13,2026-05-27,"Pastor Retreat 2",event-marketing
"[Pastor Retreat 2] Phase 4: Final Prep","Event: Pastor Retreat 2\nLocation: TBD\nPhase 4: Final Prep\n\nKey Deliverables:\nOn-site experience flow finalized, Staffing plan locked, Strategic/Creative/Ops approvals complete",2026-06-10,2026-06-23,"Pastor Retreat 2",event-marketing
"[Pastor Retreat 2] Phase 5: Execution","Event: Pastor Retreat 2\nLocation: TBD\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-06-24,2026-06-26,"Pastor Retreat 2",event-marketing
"[Pastor Retreat 2] Phase 6: Follow-up","Event: Pastor Retreat 2\nLocation: TBD\nPhase 6: Follow-up\n\nKey Deliverables:\n90-day nurture plan activated, Thank you emails sent, Leads uploaded to CRM",2026-06-27,2026-07-03,"Pastor Retreat 2",event-marketing
"[Pastor Retreat 2] Phase 7: ROI Analysis","Event: Pastor Retreat 2\nLocation: TBD\nPhase 7: ROI Analysis\n\nKey Deliverables:\n30/60/90-day performance report delivered",2026-07-26,2026-07-26,"Pastor Retreat 2",event-marketing
"[Q3 Sporting Event July] Phase 1: Mission & Strategy","Event: Q3 Sporting Event July\nLocation: TBD\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nEvent purpose approved, Success targets set, Budget & ROI approved, Faith guardrails documented",2026-04-10,2026-05-08,"Q3 Sporting Event July",event-marketing
"[Q3 Sporting Event July] Phase 2: Theme & Audience","Event: Q3 Sporting Event July\nLocation: TBD\nPhase 2: Theme & Audience\n\nKey Deliverables:\nVisual identity finalized, Messaging framework aligned, ICP list finalized, Invitation strategy approved",2026-05-22,2026-06-05,"Q3 Sporting Event July",event-marketing
"[Q3 Sporting Event July] Phase 3: Systems & Planning","Event: Q3 Sporting Event July\nLocation: TBD\nPhase 3: Systems & Planning\n\nKey Deliverables:\nPlatforms configured (HubSpot, analytics), Critical path & risk register approved",2026-06-19,2026-07-03,"Q3 Sporting Event July",event-marketing
"[Q3 Sporting Event July] Phase 4: Final Prep","Event: Q3 Sporting Event July\nLocation: TBD\nPhase 4: Final Prep\n\nKey Deliverables:\nOn-site experience flow finalized, Staffing plan locked, Strategic/Creative/Ops approvals complete",2026-07-17,2026-07-30,"Q3 Sporting Event July",event-marketing
"[Q3 Sporting Event July] Phase 5: Execution","Event: Q3 Sporting Event July\nLocation: TBD\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-07-31,2026-07-31,"Q3 Sporting Event July",event-marketing
"[Q3 Sporting Event July] Phase 6: Follow-up","Event: Q3 Sporting Event July\nLocation: TBD\nPhase 6: Follow-up\n\nKey Deliverables:\n90-day nurture plan activated, Thank you emails sent, Leads uploaded to CRM",2026-08-01,2026-08-07,"Q3 Sporting Event July",event-marketing
"[Q3 Sporting Event July] Phase 7: ROI Analysis","Event: Q3 Sporting Event July\nLocation: TBD\nPhase 7: ROI Analysis\n\nKey Deliverables:\n30/60/90-day performance report delivered",2026-08-30,2026-08-30,"Q3 Sporting Event July",event-marketing
"[Q3 Sporting Event September] Phase 1: Mission & Strategy","Event: Q3 Sporting Event September\nLocation: TBD\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nEvent purpose approved, Success targets set, Budget & ROI approved, Faith guardrails documented",2026-05-12,2026-06-09,"Q3 Sporting Event September",event-marketing
"[Q3 Sporting Event September] Phase 2: Theme & Audience","Event: Q3 Sporting Event September\nLocation: TBD\nPhase 2: Theme & Audience\n\nKey Deliverables:\nVisual identity finalized, Messaging framework aligned, ICP list finalized, Invitation strategy approved",2026-06-23,2026-07-07,"Q3 Sporting Event September",event-marketing
"[Q3 Sporting Event September] Phase 3: Systems & Planning","Event: Q3 Sporting Event September\nLocation: TBD\nPhase 3: Systems & Planning\n\nKey Deliverables:\nPlatforms configured (HubSpot, analytics), Critical path & risk register approved",2026-07-21,2026-08-04,"Q3 Sporting Event September",event-marketing
"[Q3 Sporting Event September] Phase 4: Final Prep","Event: Q3 Sporting Event September\nLocation: TBD\nPhase 4: Final Prep\n\nKey Deliverables:\nOn-site experience flow finalized, Staffing plan locked, Strategic/Creative/Ops approvals complete",2026-08-18,2026-08-31,"Q3 Sporting Event September",event-marketing
"[Q3 Sporting Event September] Phase 5: Execution","Event: Q3 Sporting Event September\nLocation: TBD\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-09-01,2026-09-01,"Q3 Sporting Event September",event-marketing
"[Q3 Sporting Event September] Phase 6: Follow-up","Event: Q3 Sporting Event September\nLocation: TBD\nPhase 6: Follow-up\n\nKey Deliverables:\n90-day nurture plan activated, Thank you emails sent, Leads uploaded to CRM",2026-09-02,2026-09-08,"Q3 Sporting Event September",event-marketing
"[Q3 Sporting Event September] Phase 7: ROI Analysis","Event: Q3 Sporting Event September\nLocation: TBD\nPhase 7: ROI Analysis\n\nKey Deliverables:\n30/60/90-day performance report delivered",2026-10-01,2026-10-01,"Q3 Sporting Event September",event-marketing
"[Family Reunion] Phase 1: Mission & Strategy","Event: Family Reunion\nLocation: TBD\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nPrimary objective defined, Success targets set, Faith alignment approved",2026-07-07,2026-08-04,"Family Reunion",event-marketing
"[Family Reunion] Phase 2: Theme & Audience","Event: Family Reunion\nLocation: TBD\nPhase 2: Theme & Audience\n\nKey Deliverables:\nMessaging aligned, Target personas defined, Qualification criteria finalized",2026-08-18,2026-09-01,"Family Reunion",event-marketing
"[Family Reunion] Phase 3: Systems & Planning","Event: Family Reunion\nLocation: TBD\nPhase 3: Systems & Planning\n\nKey Deliverables:\nLead capture configured, Run-of-show coordination",2026-09-15,2026-09-29,"Family Reunion",event-marketing
"[Family Reunion] Phase 4: Final Prep","Event: Family Reunion\nLocation: TBD\nPhase 4: Final Prep\n\nKey Deliverables:\nStaffing completed, On-site owner assigned",2026-10-13,2026-10-26,"Family Reunion",event-marketing
"[Family Reunion] Phase 5: Execution","Event: Family Reunion\nLocation: TBD\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-10-27,2026-10-27,"Family Reunion",event-marketing
"[Family Reunion] Phase 6: Follow-up","Event: Family Reunion\nLocation: TBD\nPhase 6: Follow-up\n\nKey Deliverables:\nPost-event nurture activated, Leads uploaded to CRM",2026-10-28,2026-11-03,"Family Reunion",event-marketing
"[Family Reunion] Phase 7: ROI Analysis","Event: Family Reunion\nLocation: TBD\nPhase 7: ROI Analysis\n\nKey Deliverables:\nFunnel report delivered",2026-11-26,2026-11-26,"Family Reunion",event-marketing
"[RockRMS Conference] Phase 1: Mission & Strategy","Event: RockRMS Conference\nLocation: Phoenix, AZ\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nPrimary objective defined, Success targets set, Faith alignment approved",2026-07-14,2026-08-11,"RockRMS Conference",event-marketing
"[RockRMS Conference] Phase 2: Theme & Audience","Event: RockRMS Conference\nLocation: Phoenix, AZ\nPhase 2: Theme & Audience\n\nKey Deliverables:\nMessaging aligned, Target personas defined, Qualification criteria finalized",2026-08-25,2026-09-08,"RockRMS Conference",event-marketing
"[RockRMS Conference] Phase 3: Systems & Planning","Event: RockRMS Conference\nLocation: Phoenix, AZ\nPhase 3: Systems & Planning\n\nKey Deliverables:\nLead capture configured, Run-of-show coordination",2026-09-22,2026-10-06,"RockRMS Conference",event-marketing
"[RockRMS Conference] Phase 4: Final Prep","Event: RockRMS Conference\nLocation: Phoenix, AZ\nPhase 4: Final Prep\n\nKey Deliverables:\nStaffing completed, On-site owner assigned",2026-10-20,2026-11-02,"RockRMS Conference",event-marketing
"[RockRMS Conference] Phase 5: Execution","Event: RockRMS Conference\nLocation: Phoenix, AZ\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-11-03,2026-11-05,"RockRMS Conference",event-marketing
"[RockRMS Conference] Phase 6: Follow-up","Event: RockRMS Conference\nLocation: Phoenix, AZ\nPhase 6: Follow-up\n\nKey Deliverables:\nPost-event nurture activated, Leads uploaded to CRM",2026-11-06,2026-11-12,"RockRMS Conference",event-marketing
"[RockRMS Conference] Phase 7: ROI Analysis","Event: RockRMS Conference\nLocation: Phoenix, AZ\nPhase 7: ROI Analysis\n\nKey Deliverables:\nFunnel report delivered",2026-12-05,2026-12-05,"RockRMS Conference",event-marketing
"[November Sporting Event] Phase 1: Mission & Strategy","Event: November Sporting Event\nLocation: Dallas, TX\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nEvent purpose approved, Success targets set, Budget & ROI approved, Faith guardrails documented",2026-07-15,2026-08-12,"November Sporting Event",event-marketing
"[November Sporting Event] Phase 2: Theme & Audience","Event: November Sporting Event\nLocation: Dallas, TX\nPhase 2: Theme & Audience\n\nKey Deliverables:\nVisual identity finalized, Messaging framework aligned, ICP list finalized, Invitation strategy approved",2026-08-26,2026-09-09,"November Sporting Event",event-marketing
"[November Sporting Event] Phase 3: Systems & Planning","Event: November Sporting Event\nLocation: Dallas, TX\nPhase 3: Systems & Planning\n\nKey Deliverables:\nPlatforms configured (HubSpot, analytics), Critical path & risk register approved",2026-09-23,2026-10-07,"November Sporting Event",event-marketing
"[November Sporting Event] Phase 4: Final Prep","Event: November Sporting Event\nLocation: Dallas, TX\nPhase 4: Final Prep\n\nKey Deliverables:\nOn-site experience flow finalized, Staffing plan locked, Strategic/Creative/Ops approvals complete",2026-10-21,2026-11-03,"November Sporting Event",event-marketing
"[November Sporting Event] Phase 5: Execution","Event: November Sporting Event\nLocation: Dallas, TX\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-11-04,2026-11-06,"November Sporting Event",event-marketing
"[November Sporting Event] Phase 6: Follow-up","Event: November Sporting Event\nLocation: Dallas, TX\nPhase 6: Follow-up\n\nKey Deliverables:\n90-day nurture plan activated, Thank you emails sent, Leads uploaded to CRM",2026-11-07,2026-11-13,"November Sporting Event",event-marketing
"[November Sporting Event] Phase 7: ROI Analysis","Event: November Sporting Event\nLocation: Dallas, TX\nPhase 7: ROI Analysis\n\nKey Deliverables:\n30/60/90-day performance report delivered",2026-12-06,2026-12-06,"November Sporting Event",event-marketing